Name,Platform,Year,Genre,Publisher,Rank,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,183,5.2,2.93,1.25,0.83,0.2
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,184,5.19,2.32,1.3,1.27,0.31
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,185,5.19,2.49,0.98,1.57,0.15
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,186,5.18,1.08,3.48,0.03,0.58
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,187,5.17,1.9,1.83,0.95,0.49
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,188,5.15,2.1,0.74,2.2,0.11
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,189,5.15,0.96,2.02,1.89,0.28
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,190,5.14,1.64,2.48,0.44,0.58
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,191,5.13,1.98,2.23,0.13,0.8
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,192,5.13,2.71,0.61,1.7,0.11
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,193,5.13,3.59,1.11,0.05,0.38
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,194,5.13,3.21,1.53,0.01,0.38
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,195,5.12,3.22,1.69,0.0,0.2
Guitar Hero II,PS2,2006.0,Misc,RedOctane,196,5.12,3.81,0.63,0.0,0.68
Resident Evil 5,PS3,2009.0,Action,Capcom,197,5.11,1.96,1.43,1.08,0.65
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,198,5.08,2.66,2.01,0.0,0.41
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,199,5.08,1.7,2.02,0.16,1.21
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,200,5.08,0.6,3.29,0.06,1.13
Super Mario Bros.,GB,1999.0,Platform,Nintendo,201,5.07,3.4,1.3,0.15,0.22
Resident Evil,PS,1996.0,Action,Virgin Interactive,202,5.05,2.05,1.16,1.11,0.73
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,203,5.02,3.42,1.38,0.02,0.2
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,204,5.02,2.59,1.06,0.8,0.57
Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,205,5.01,2.79,1.89,0.0,0.33
Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,206,5.0,3.36,1.36,0.07,0.21
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,207,5.0,3.06,1.18,0.29,0.46
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,208,4.98,3.49,0.01,0.01,1.48
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,209,4.96,3.39,1.03,0.09,0.44
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,210,4.96,1.85,1.2,1.54,0.37
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,211,4.94,2.31,1.73,0.12,0.78
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,212,4.91,3.98,0.26,0.01,0.66
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,213,4.9,2.89,1.54,0.0,0.46
Diddy Kong Racing,N64,1997.0,Racing,Nintendo,214,4.88,2.91,0.99,0.89,0.1
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom,215,4.87,0.0,0.0,4.87,0.0
Dr. Mario,NES,1990.0,Puzzle,Nintendo,216,4.85,2.62,0.6,1.52,0.1
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,217,4.84,2.74,1.36,0.12,0.63
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,218,4.83,2.56,1.68,0.0,0.59
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,219,4.83,1.91,2.0,0.09,0.83
FIFA 15,PS3,2014.0,Sports,Electronic Arts,220,4.82,0.57,3.14,0.04,1.07
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,221,4.79,2.57,1.57,0.44,0.21
FIFA 17,PS4,2016.0,Sports,Electronic Arts,222,4.77,0.28,3.75,0.06,0.69
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,223,4.76,2.99,1.31,0.04,0.41
Driver 2,PS,2000.0,Action,Atari,224,4.73,2.36,2.1,0.02,0.25
The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,225,4.7,1.73,2.19,0.0,0.79
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,226,4.68,3.05,1.41,0.02,0.2
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,227,4.68,1.87,1.12,1.32,0.37
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,228,4.67,1.94,1.95,0.08,0.7
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,229,4.64,2.08,2.04,0.06,0.47
Tomb Raider,PS,1996.0,Action,Eidos Interactive,230,4.63,2.29,1.97,0.13,0.24
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,231,4.62,3.06,1.12,0.0,0.44
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,232,4.61,2.42,0.91,1.15,0.13
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,233,4.6,2.6,0.99,0.89,0.13
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,234,4.58,1.89,1.99,0.22,0.48
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,235,4.58,1.78,1.39,1.1,0.3
Splatoon,WiiU,2015.0,Shooter,Nintendo,236,4.57,1.55,1.15,1.44,0.43
The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,237,4.55,1.78,1.87,0.07,0.82
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,238,4.53,3.19,0.92,0.01,0.42
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,239,4.53,4.18,0.26,0.01,0.08
Pitfall!,2600,1981.0,Platform,Activision,240,4.5,4.21,0.24,0.0,0.05
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,241,4.49,3.63,0.24,0.01,0.61
Spider-Man: The Movie,PS2,2002.0,Action,Activision,242,4.48,2.71,1.51,0.03,0.23
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,243,4.47,0.2,0.14,4.1,0.02
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,244,4.47,1.96,1.69,0.08,0.74
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,245,4.45,1.54,1.94,0.19,0.77
God of War,PS2,2005.0,Action,Sony Computer Entertainment,246,4.45,2.71,1.29,0.02,0.43
Nintendo Land,WiiU,2012.0,Misc,Nintendo,247,4.44,2.55,1.11,0.46,0.33
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,248,4.42,2.67,1.35,0.01,0.39
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,249,4.41,2.66,1.29,0.01,0.46
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,250,4.39,0.1,2.39,1.05,0.86
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,251,4.39,2.82,1.05,0.13,0.4
Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,252,4.38,2.19,0.5,1.61,0.08
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,253,4.37,2.03,1.79,0.08,0.47
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,254,4.35,1.73,1.73,0.14,0.75
